,Unnamed: 0,x,y_orig,y
106,106,1.0736111,7.32098115079134,6.613229620179997
107,107,1.0743056,7.390981150791049,6.595975778643393
108,108,1.075,7.38098115079265,6.576442405294046
109,109,1.0756944,6.970981150792795,6.554553449711836
110,110,1.0763889,6.700981150792359,6.527070046350503
111,111,1.0770833,6.670981150793523,6.494836192809092
112,112,1.0777778,5.990981150793232,6.459769536146429
113,113,1.0784722,6.060981150792941,6.418010502533015
114,114,1.0791667,5.270981150792068,6.380379620180089
115,115,1.0798611,5.030981150794105,6.337338623781517
116,116,1.0805556,4.540981150792504,6.297612213217296
117,117,1.08125,4.610981150792213,6.2618090019327415
118,118,1.0819444,4.590981150791777,6.237587843469345
119,119,1.0826389,4.690981150793959,6.20908013038413
120,120,1.0833333,5.090981150791777,6.1892832816446335
121,121,1.0840278,5.32098115079134,6.179628899891968
