1-14 Jan 2024, Surlari, B-z
Time (Days)             B-z (nT)
1.2444444               43233.8                  
1.2451389               43233.9                  
1.2458333               43233.4                  
1.2465278               43234                    
1.2472222               43233.5                  
1.2479167               43233.7                  
1.2486111               43233.6                  
1.2493056               43233.6                  
1.25                    43233.6                  
1.2506944               43233.4                  
1.2513889               43233.2                  
1.2520833               43233.1                  
1.2527778               43233.1                  
1.2534722               43233.1                  
1.2541667               43233.3                  
1.2548611               43233.1                  
1.2555556               43233.5                  
1.25625                 43233.3                  
1.2569444               43233.3                  
1.2576389               43233.8                  
1.2583333               43233.2                  
1.2590278               43233.6                  
1.2597222               43233.4                  
1.2604167               43233.6                  
1.2611111               43233.5                  
1.2618056               43233.4                  
1.2625                  43233.6                  
1.2631944               43233.5                  
1.2638889               43233.4                  
1.2645833               43233.6                  
1.2652778               43233.4                  
1.2659722               43233.3                  
1.2666667               43233.1                  
1.2673611               43233.3                  
1.2680556               43233.3                  
1.26875                 43233.2                  
1.2694444               43233.3                  
1.2701389               43232.9                  
1.2708333               43232.9                  
1.2715278               43233.2                  
1.2722222               43232.8                  
1.2729167               43233                    
1.2736111               43232.8                  
1.2743056               43233.2                  
1.275                   43233                    
1.2756944               43232.8                  
1.2763889               43233.2                  
1.2770833               43232.7                  
1.2777778               43232.7                  
1.2784722               43232.7                  
1.2791667               43232.8                  
1.2798611               43232.6                  
1.2805556               43232.5                  
1.28125                 43232.6                  
1.2819444               43232.7                  
1.2826389               43232.5                  
1.2833333               43232.6                  
1.2840278               43232.1                  
1.2847222               43232.3                  
1.2854167               43232                    
1.2861111               43232.4                  
1.2868056               43232.3                  
1.2875                  43232.1                  
1.2881944               43232.1                  
1.2888889               43232.1                  
1.2895833               43232.1                  
1.2902778               43232                    
1.2909722               43231.9                  
1.2916667               43231.6                  
1.2923611               43231.9                  
1.2930556               43231.5                  
1.29375                 43231.9                  
1.2944444               43231.7                  
1.2951389               43231.9                  
1.2958333               43231.9                  
1.2965278               43231.7                  
1.2972222               43231.6                  
1.2979167               43231.5                  
1.2986111               43231.6                  
1.2993056               43231.4                  
1.3                     43231.3                  
1.3006944               43231.2                  
1.3013889               43231.2                  
1.3020833               43231.3                  
1.3027778               43231.4                  
1.3034722               43231.3                  
1.3041667               43231.4                  
1.3048611               43231.1                  
1.3055556               43231                    
1.30625                 43231.4                  
1.3069444               43231.1                  
1.3076389               43231.3                  
1.3083333               43231.2                  
1.3090278               43231.3                  
1.3097222               43231.5                  
1.3104167               43231.2                  
1.3111111               43231.4                  
1.3118056               43231.1                  
