1-14 Jan 2024, Surlari, B-x
Time (Days)             B-x (nT)
1.6138889               22585.08                 
1.6145833               22585.02                 
1.6152778               22585.3                  
1.6159722               22584.7                  
1.6166667               22585.23                 
1.6173611               22586.48                 
1.6180556               22586.86                 
1.61875                 22587.18                 
1.6194444               22588.16                 
1.6201389               22588.36                 
1.6208333               22587.91                 
1.6215278               22587.28                 
1.6222222               22587.18                 
1.6229167               22587.32                 
1.6236111               22587.16                 
1.6243056               22587.24                 
