1-14 Jan 2024, Surlari, B-y
Time (Days)             B-y (nT)
1.3638889               2444.76                  
1.3645833               2444.4                   
1.3652778               2444.44                  
1.3659722               2444.88                  
1.3666667               2443.93                  
1.3673611               2443.74                  
1.3680556               2443.41                  
1.36875                 2443.71                  
1.3694444               2443.39                  
1.3701389               2443.41                  
1.3708333               2443.08                  
1.3715278               2443.06                  
1.3722222               2442.66                  
1.3729167               2442.97                  
1.3736111               2443.43                  
1.3743056               2443.25                  
1.375                   2442.11                  
1.3756944               2441.97                  
1.3763889               2443.12                  
1.3770833               2443.28                  
1.3777778               2443.2                   
1.3784722               2442.85                  
1.3791667               2442.5                   
1.3798611               2442.74                  
1.3805556               2442.6                   
1.38125                 2442.7                   
1.3819444               2442.83                  
1.3826389               2442.36                  
1.3833333               2442.84                  
1.3840278               2442.74                  
1.3847222               2442.82                  
1.3854167               2442.36                  
1.3861111               2442.86                  
1.3868056               2442.6                   
1.3875                  2442.78                  
1.3881944               2442.9                   
1.3888889               2442.5                   
1.3895833               2441.91                  
1.3902778               2442.79                  
1.3909722               2442.5                   
1.3916667               2442.73                  
1.3923611               2442.41                  
1.3930556               2442.49                  
1.39375                 2442.19                  
1.3944444               2441.99                  
1.3951389               2442.09                  
1.3958333               2442.21                  
1.3965278               2441.96                  
1.3972222               2442.38                  
1.3979167               2442.22                  
1.3986111               2441.8                   
1.3993056               2441.85                  
1.4                     2442                     
1.4006944               2441.6                   
1.4013889               2441.67                  
1.4020833               2441.32                  
1.4027778               2441.06                  
1.4034722               2440.94                  
1.4041667               2441.21                  
1.4048611               2440.98                  
1.4055556               2440.86                  
1.40625                 2440.41                  
1.4069444               2440.39                  
1.4076389               2440.4                   
1.4083333               2440.5                   
1.4090278               2440.68                  
1.4097222               2440.37                  
1.4104167               2439.7                   
1.4111111               2440.16                  
1.4118056               2440.19                  
1.4125                  2440.15                  
1.4131944               2440.05                  
1.4138889               2440.42                  
1.4145833               2440.32                  
1.4152778               2440.75                  
1.4159722               2440.54                  
1.4166667               2439.84                  
1.4173611               2439.5                   
1.4180556               2439.73                  
1.41875                 2439.84                  
1.4194444               2439.67                  
1.4201389               2439.55                  
1.4208333               2439.44                  
1.4215278               2439.33                  
1.4222222               2438.92                  
1.4229167               2439.34                  
1.4236111               2439                     
1.4243056               2438.52                  
1.425                   2438.45                  
1.4256944               2438.46                  
1.4263889               2438.29                  
1.4270833               2437.83                  
1.4277778               2438.24                  
1.4284722               2438.37                  
1.4291667               2438.66                  
1.4298611               2438.32                  
1.4305556               2438.17                  
1.43125                 2438.26                  
1.4319444               2438.47                  
1.4326389               2438.44                  
1.4333333               2437.89                  
1.4340278               2437.61                  
1.4347222               2437.93                  
1.4354167               2437.72                  
1.4361111               2437.64                  
1.4368056               2438.44                  
1.4375                  2440.09                  
1.4381944               2439.65                  
1.4388889               2438.48                  
1.4395833               2437.32                  
1.4402778               2438.12                  
1.4409722               2438.69                  
1.4416667               2439.06                  
1.4423611               2439.19                  
1.4430556               2439.02                  
1.44375                 2438.67                  
1.4444444               2437.9                   
1.4451389               2438.23                  
1.4458333               2438.16                  
1.4465278               2437.4                   
1.4472222               2438.39                  
1.4479167               2438.38                  
1.4486111               2439.29                  
1.4493056               2438.77                  
1.45                    2438.22                  
1.4506944               2438.59                  
1.4513889               2438.44                  
1.4520833               2438.51                  
1.4527778               2438.32                  
1.4534722               2438.47                  
1.4541667               2438.3                   
1.4548611               2438.23                  
1.4555556               2438.21                  
1.45625                 2437.88                  
1.4569444               2437.59                  
1.4576389               2438.04                  
1.4583333               2437.39                  
1.4590278               2437.14                  
1.4597222               2437.19                  
1.4604167               2437.03                  
1.4611111               2436.76                  
1.4618056               2436.54                  
1.4625                  2436.19                  
1.4631944               2437.03                  
1.4638889               2436.52                  
1.4645833               2435.38                  
1.4652778               2436.44                  
1.4659722               2436.76                  
1.4666667               2435.46                  
1.4673611               2435.23                  
1.4680556               2435.73                  
1.46875                 2436.77                  
1.4694444               2437.99                  
1.4701389               2437.36                  
1.4708333               2436.43                  
1.4715278               2436.46                  
1.4722222               2438.22                  
1.4729167               2439.17                  
1.4736111               2440.02                  
1.4743056               2440.75                  
1.475                   2442.53                  
1.4756944               2444.55                  
1.4763889               2444.82                  
1.4770833               2443.55                  
1.4777778               2440.95                  
1.4784722               2438.59                  
1.4791667               2440.27                  
1.4798611               2442.74                  
1.4805556               2442.96                  
1.48125                 2442.1                   
1.4819444               2442.34                  
1.4826389               2442.66                  
1.4833333               2442.59                  
1.4840278               2443.16                  
1.4847222               2443.13                  
1.4854167               2443.02                  
1.4861111               2442.91                  
1.4868056               2442.99                  
1.4875                  2442.56                  
1.4881944               2441.76                  
1.4888889               2442.55                  
1.4895833               2442.28                  
1.4902778               2441.84                  
1.4909722               2441.67                  
1.4916667               2441.37                  
1.4923611               2440.9                   
1.4930556               2440.93                  
1.49375                 2440.97                  
1.4944444               2441.12                  
1.4951389               2441.22                  
1.4958333               2440.96                  
1.4965278               2441.35                  
1.4972222               2441.06                  
1.4979167               2441.19                  
1.4986111               2440.9                   
1.4993056               2440.81                  
1.5                     2440.48                  
1.5006944               2439.11                  
1.5013889               2439.44                  
1.5020833               2438.74                  
1.5027778               2439.78                  
1.5034722               2439.27                  
1.5041667               2438.7                   
1.5048611               2438.76                  
1.5055556               2439.21                  
1.50625                 2439.3                   
1.5069444               2439.35                  
1.5076389               2440.1                   
1.5083333               2440.23                  
1.5090278               2440.35                  
1.5097222               2440.23                  
1.5104167               2440.64                  
1.5111111               2440.19                  
1.5118056               2439.6                   
1.5125                  2438.98                  
1.5131944               2438.92                  
1.5138889               2438.64                  
1.5145833               2437.92                  
1.5152778               2438.39                  
1.5159722               2437.49                  
1.5166667               2437.62                  
1.5173611               2437.81                  
1.5180556               2438.21                  
1.51875                 2437.78                  
1.5194444               2437.31                  
1.5201389               2437.42                  
1.5208333               2437.94                  
1.5215278               2437.56                  
1.5222222               2438.44                  
1.5229167               2438.09                  
1.5236111               2438.22                  
1.5243056               2438.86                  
1.525                   2439.46                  
1.5256944               2439.63                  
1.5263889               2439.85                  
1.5270833               2440.03                  
1.5277778               2440.59                  
1.5284722               2439.95                  
1.5291667               2440.71                  
1.5298611               2440.6                   
1.5305556               2440.96                  
1.53125                 2440.84                  
1.5319444               2441.04                  
1.5326389               2440.97                  
1.5333333               2440.96                  
1.5340278               2441.16                  
1.5347222               2440.55                  
1.5354167               2440.67                  
1.5361111               2440.61                  
1.5368056               2440.64                  
1.5375                  2440.71                  
1.5381944               2440.9                   
1.5388889               2440.86                  
1.5395833               2440.9                   
1.5402778               2440.71                  
1.5409722               2440.68                  
1.5416667               2440.75                  
1.5423611               2440.55                  
1.5430556               2440.59                  
1.54375                 2440.63                  
1.5444444               2440.43                  
1.5451389               2440.76                  
1.5458333               2440.6                   
1.5465278               2440.72                  
1.5472222               2441.19                  
1.5479167               2441.4                   
1.5486111               2441.37                  
1.5493056               2441.45                  
1.55                    2442.01                  
1.5506944               2442.02                  
1.5513889               2442.24                  
1.5520833               2442.01                  
1.5527778               2442.59                  
1.5534722               2442.32                  
1.5541667               2442.5                   
1.5548611               2442.62                  
1.5555556               2442.85                  
1.55625                 2443.27                  
1.5569444               2443.26                  
1.5576389               2443.33                  
1.5583333               2443.6                   
1.5590278               2443.74                  
1.5597222               2444.2                   
1.5604167               2444.25                  
1.5611111               2444.24                  
1.5618056               2444.71                  
1.5625                  2444.33                  
1.5631944               2444.19                  
1.5638889               2444.25                  
1.5645833               2444.15                  
1.5652778               2444.85                  
1.5659722               2444.54                  
1.5666667               2444.76                  
1.5673611               2444.88                  
1.5680556               2445.05                  
1.56875                 2445.27                  
1.5694444               2445.22                  
1.5701389               2445.15                  
1.5708333               2445.37                  
1.5715278               2445.7                   
1.5722222               2445.89                  
