x,y,y_xg,y_exp,y_ma
8.9083333,1.4509811507923587,3.473252610948079,8.597400604490064,1.1469811507922714
8.9090278,0.6509811507930863,3.366574816955098,8.525936409953088,1.092981150792184
8.9097222,0.08098115079337731,3.287563809058213,8.447186857361487,0.9589811507925333
8.9104167,-0.14901884920618613,3.214868345337131,8.363524800295805,0.6329811507930572
8.9111111,-0.2690188492088055,3.179342404393497,8.278399363800785,0.35298115079276615
8.9118056,0.050981150790903484,3.181872414676084,8.192925181670688,0.0729811507924751
8.9125,0.17098115079352283,3.221906728787084,8.11150574136189,-0.023018849207437596
8.9131944,-0.5290188492072048,3.276367767123931,8.032100495456206,-0.145018849207554
8.9138889,-0.049018849207641324,3.3195938178843316,7.946489302009572,-0.12501884920784506
8.9145833,-1.1490188492061861,3.4019766095615243,7.8665342204974,-0.3010188492073212
8.9152778,0.6209811507906124,3.5091600560614795,7.776378689800364,-0.18701884920737938
8.9159722,2.250981150791631,3.6197158980534425,7.704824714410266,0.22898115079224227
8.9166667,3.280981150794105,3.7344868994253844,7.65028627877408,0.9909811507925042
8.9173611,4.110981150792213,3.85364582502669,7.6065932274942805,1.8229811507924751
8.9180556,4.850981150793814,3.9662547169838263,7.571637106727259,3.022981150792475
8.91875,5.490981150793232,4.08240393384726,7.5444305471679245,3.996981150792999
8.9194444,6.010981150793668,4.195827771376625,7.523896053204178,4.748981150793407
8.9201389,6.500981150791631,4.294866073265023,7.508766904180073,5.392981150792911
8.9208333,7.110981150792213,4.401943606261029,7.498689046646189,5.992981150792912
8.9215278,7.270981150792068,4.495333187937647,7.494811967687649,6.476981150792563
8.9222222,6.940981150793959,4.589772437687803,7.492573659518693,6.766981150792708
8.9229167,6.910981150791486,4.670758516878241,7.4870577344314455,6.946981150792271
8.9236111,7.090981150791777,4.748103018318658,7.481296968595046,7.064981150792301
8.9243056,6.900981150793086,4.815652064485396,7.477393810417014,7.022981150792475
8.925,6.690981150793959,4.87276198907007,7.471629683820774,6.906981150792854
8.9256944,6.88098115079265,4.9280814627650145,7.463823198490506,6.894981150792591
8.9263889,6.860981150792213,4.976277495960534,7.457994778013528,6.884981150792737
8.9270833,6.850981150793814,5.021463383481319,7.452024641741315,6.836981150793145
8.9277778,7.040981150792504,5.0728855256955265,7.44601420683184,6.864981150793028
8.9284722,7.250981150791631,5.127037882678811,7.441963876271447,6.976981150792563
8.9291667,7.240981150793232,5.186033743429951,7.4400540490166485,7.048981150792679
8.9298611,7.350981150793814,5.247607997942741,7.438063320034415,7.146981150792999
8.9305556,7.450981150792359,5.2989147596868555,7.437192498342008,7.266981150792708
